coco image path,ymin, xmin, ymax,xmax
000000000036.jpg,0.25451562499999997,0.3483991683991684,0.9813749999999999,0.9941580041580043
000000000049.jpg,0.52086,0.5338320209973753,0.6669400000000001,0.706246719160105
000000000061.jpg,0.42196721311475405,0.40812499999999996,0.5392622950819671,0.48324999999999996
000000000074.jpg,0.22056338028169012,0.461796875,0.3586619718309859,0.49057812500000003
000000000077.jpg,0.15016000000000002,0.43207999999999996,0.4673066666666667,0.63898
000000000086.jpg,0.28609375,0.29708984375,0.8735468750000001,0.5493359375
000000000109.jpg,0.6524519230769231,0.801390625,0.7311298076923077,0.834578125
000000000110.jpg,0.0,0.32528125,0.9887708333333334,1.0
000000000113.jpg,0.049093750000000005,0.010408653846153847,0.76015625,0.3750721153846154
000000000127.jpg,0.018024948024948025,0.694015625,0.09234927234927236,0.7295625
000000000136.jpg,0.30671122994652406,0.0016799999999999999,0.9957486631016041,0.10876000000000001
000000000149.jpg,0.7585280373831775,0.606296875,0.7896728971962615,0.6213124999999999
000000000151.jpg,0.096109375,0.9054375,0.179359375,0.9691041666666667
000000000165.jpg,0.2017537313432836,0.388484375,1.0,0.9871874999999999
000000000192.jpg,0.5280833333333333,0.5460625,0.9865208333333333,0.7516875000000001
000000000201.jpg,0.4566121495327103,0.961328125,0.4953271028037383,0.980828125
000000000241.jpg,0.010265625,0.2764583333333333,0.98865625,0.6940208333333333
000000000257.jpg,0.7199583333333333,0.21807812499999998,1.0,0.32982812499999997
000000000260.jpg,0.42006006006006,0.522,0.929069069069069,0.6255
000000000294.jpg,0.16353629976580797,0.04328125,1.0,0.613453125
000000000308.jpg,0.06725352112676056,0.2104375,0.9955164319248826,0.41937499999999994
000000000315.jpg,0.3261592505854801,0.529203125,0.7772833723653395,0.625828125
000000000322.jpg,0.22968814968814968,0.11196874999999999,0.8030561330561331,0.43431250000000005
000000000326.jpg,0.21236533957845435,0.238390625,0.9987119437939109,0.8081875000000001
000000000328.jpg,0.13867617107942976,0.070015625,0.8655804480651731,0.419703125
000000000338.jpg,0.4344648318042813,0.5109375,0.9962385321100917,0.6522812499999999
