ImageID,XMin,XMax,YMin,YMax
00075905539074f2,0.020477816,0.32935154,0.0956023,0.665392
00075905539074f2,0.3208191,0.63993174,0,0.6596558
00075905539074f2,0.6757679,0.9914676,0.17208412,0.94837475
000a1249af2bc5f0,0,1,0,1
000a1249af2bc5f0,0.22205882,0.99852943,0,0.98891354
0013ea2087020901,0.30128205,0.6880342,0.15114504,0.80458015
0013ea2087020901,0.30769232,0.6880342,0.1480916,0.7969466
00141571d986d241,0.140625,0.7515625,0.3125,0.87916666
00141571d986d241,0.1390625,0.7515625,0.34375,0.88125
00141571d986d241,0,0.1765625,0.16458334,1
00146ba1e50ed8d8,0,0.59354836,0,0.8854167
00146ba1e50ed8d8,0,0.64032257,0.44375,1
00146ba1e50ed8d8,0,0.59354836,0.110416666,0.8875
00146ba1e50ed8d8,0.006451613,0.62903225,0.44166666,0.99791664
00146ba1e50ed8d8,0.7370968,0.8983871,0.825,1
00146ba1e50ed8d8,0.7983871,0.90645164,0.81666666,1
00173afdc7581c41,0,0.4486607,0.116071425,0.9672619
00173afdc7581c41,0.40848213,0.99776787,0,0.9970238
0064b73c505e39e3,0.18939394,0.7676768,0.0976431,0.9983165
0064b73c505e39e3,0.18686868,0.77020204,0.0976431,1
006f87bf928f9ba3,0,0.3938053,0.22123894,1
006f87bf928f9ba3,0.2979351,0.7300885,0.32300884,1
006f87bf928f9ba3,0,0.37758112,0.22566372,1
006f87bf928f9ba3,0.29646018,0.73303837,0.32964602,1
00a3654c1cf00d11,0.016245488,0.13537906,0.4963899,0.8140794
00a3654c1cf00d11,0.018050542,0.14801444,0.49458483,0.8140794
00a42a80e5e8d194,0,1,0,1
00a42a80e5e8d194,0,1,0,1
00a7655d4eabf186,0,0.94518274,0,0.913556
00a7655d4eabf186,0.061461795,0.3139535,0,0.59921414
00a7655d4eabf186,0.1627907,0.7923588,0.06483301,0.913556
00a7655d4eabf186,0.72425246,0.9385382,0,0.5049116
00c5be8db0e25f5e,0.24926254,0.359882,0.15044248,0.44247788
00c5be8db0e25f5e,0.42330384,0.50737464,0.40044248,0.45353982
00c5be8db0e25f5e,0.50294983,0.6297935,0.17699115,0.50442475
00c710176e9c2996,0.075,0.9604167,0.090625,0.99375
00c9616a917be867,0.25,0.8958333,0,0.9984375
00c9616a917be867,0.25208333,0.90416664,0,0.996875
00c9616a917be867,0.33541667,0.45625,0.284375,0.6390625
00c9616a917be867,0.84166664,0.91041666,0.271875,0.5234375
00c9616a917be867,0,0.38333333,0.2203125,0.7265625
00c9616a917be867,0.033333335,0.09166667,0.2515625,0.590625
00c9616a917be867,0.14375,0.34583333,0.253125,0.725
00c9616a917be867,0.62708336,0.9,0.271875,0.8484375
00c9616a917be867,0.8666667,0.9791667,0.271875,0.6828125
00cdf56c63191fd3,0.041597337,0.4575707,0.03522505,0.93542075
00cdf56c63191fd3,0.5440932,0.953411,0.54011744,0.9373777
00cdf56c63191fd3,0.041597337,0.45424291,0.025440313,0.93542075
00cdf56c63191fd3,0.54242927,0.95840263,0.54011744,0.9432485
00e65d13159b498b,0.022988506,0.93760264,0.06746032,1
00e65d13159b498b,0.6715928,1,0.103174604,0.6845238
00eb69293aa4c5b7,0,0.9672131,0,0.99602383
010d42acb7498094,0.48967552,0.58112097,0.26327434,0.6792035
010d42acb7498094,0.5619469,0.6179941,0,0.053097345
010d42acb7498094,0.7300885,0.820059,0,0.16814159
010d9a7f0d2e0622,0.21681416,0.5457227,0.20353982,1
010d9a7f0d2e0622,0.5147493,0.8377581,0.21460177,1
01125dd72c09cc5a,0.058333334,0.26944444,0.275,0.80833334
01125dd72c09cc5a,0.13333334,0.45555556,0.45625,0.9375
01125dd72c09cc5a,0.35277778,0.6111111,0.31458333,0.79791665
01125dd72c09cc5a,0.45277777,0.56666666,0.37708333,0.59583336
01125dd72c09cc5a,0.5138889,0.89166665,0.56875,0.9291667
01125dd72c09cc5a,0.6611111,0.8527778,0.35833332,0.7708333
011417767312812e,0.0433213,0.5451264,0.22924188,0.99819493
011417767312812e,0.36101082,0.7761733,0.29783395,0.9801444
011417767312812e,0.036101084,0.5451264,0.23285198,1
011417767312812e,0.3700361,0.78700364,0.299639,0.98916966
011417767312812e,0.70577615,0.9043321,0,0.57942235
0116632f904277c7,0.114173226,0.96850395,0.06301824,0.87230515
01173219f4e54c35,0.5213549,0.66863036,0.18625277,0.50332594
012bfb1d9f9afc48,0.07789474,0.48421052,0.78018576,0.9613003
012bfb1d9f9afc48,0.10526316,0.56210524,0.049535602,0.54489166
012bfb1d9f9afc48,0.6905263,0.76842105,0.30959752,0.3978328
013b99371484d3d5,0.90625,0.9609375,0.35833332,0.6479167
013e4b54ccdf22aa,0,0.2953125,0.17083333,1
013e4b54ccdf22aa,0,0.246875,0.075,0.93333334
013e4b54ccdf22aa,0.6453125,1,0,1
017b690dbb7552db,0.7522124,0.8893805,0.2300885,0.80309737
0182bd2e43596b71,0.05,0.128125,0.3875,0.8020833
0182bd2e43596b71,0,0.08125,0.35625,1
0182bd2e43596b71,0.125,0.1953125,0.38125,0.7625
0182bd2e43596b71,0.2046875,0.3234375,0.38125,0.8333333
0182bd2e43596b71,0.328125,0.596875,0.31041667,1
0182bd2e43596b71,0.5390625,0.8015625,0.26041666,1
01877d79c356fad3,0.36101082,0.89169675,0.24548736,0.5306859
0197df7725980004,0.1988218,0.2827688,0.030973451,0.35840708
0197df7725980004,0.26067746,0.35493374,0.028761063,0.36283186
0197df7725980004,0.9293078,1,0.17920354,0.42920354
01a6c89f9885d483,0.095870204,0.1519174,0.5619469,0.7345133
01a6c89f9885d483,0.107669614,0.16076696,0.5575221,0.7367257
01a6c89f9885d483,0.27286136,0.30088496,0.61283183,0.6858407
